DATE,BSCICP03RUM665S
2013-09-01,99.9395464839965
2013-10-01,99.9712397278634
2013-11-01,99.9908647159504
2013-12-01,99.9385133581271
2014-01-01,99.8216320037325
2014-02-01,99.7846112407112
2014-03-01,99.7537736582023
2014-04-01,99.6940949531946
2014-05-01,100.021458112976
2014-06-01,100.649938738001
2014-07-01,101.157884464538
2014-08-01,101.393232086138
2014-09-01,101.345221672807
2014-10-01,101.147202089425
2014-11-01,100.908244490007
2014-12-01,100.760852109212
2015-01-01,100.616475648353
2015-02-01,100.411084407053
2015-03-01,100.447196439379
2015-04-01,100.631964636809
2015-05-01,100.666640642859
2015-06-01,100.583053587943
2015-07-01,100.61728980163
2015-08-01,100.890035400483
2015-09-01,100.942905553431
2015-10-01,100.817465446731
2015-11-01,100.57340304708
2015-12-01,100.087601749553
2016-01-01,99.6079443580674
2016-02-01,99.4403791829513
2016-03-01,99.9499350446307
2016-04-01,100.448043318787
2016-05-01,100.580510879066
2016-06-01,100.569554224818
2016-07-01,100.75313871635
2016-08-01,100.971330534594
2016-09-01,101.155453784829
2016-10-01,101.141634256067
2016-11-01,101.001656786814
2016-12-01,100.980390227263
2017-01-01,101.029271733877
2017-02-01,100.760675506049
2017-03-01,100.489935824215
2017-04-01,100.433298817762
2017-05-01,100.645051790616
2017-06-01,100.860728529511
2017-07-01,100.741050117245
2017-08-01,100.814572950061
2017-09-01,101.095381288454
2017-10-01,101.465948814839
2017-11-01,101.798733531932
2017-12-01,101.612933962686
2018-01-01,101.265296852764
2018-02-01,101.08806477463
2018-03-01,101.305982946153
2018-04-01,101.547673887802
2018-05-01,101.574132911358
2018-06-01,101.430236874916
2018-07-01,101.398294755999
2018-08-01,101.24721560272
2018-09-01,101.075802401775
2018-10-01,101.058222691076
2018-11-01,101.108929010452
2018-12-01,101.357275478355
2019-01-01,101.448111797347
2019-02-01,101.347379812756
2019-03-01,101.315295290671
2019-04-01,101.384446160664
2019-05-01,101.129855518956
2019-06-01,100.806358743958
2019-07-01,100.739809550893
2019-08-01,100.805946534167
2019-09-01,100.900867753564
2019-10-01,100.827157390872
2019-11-01,100.688228391143
2019-12-01,100.421796464339
2020-01-01,100.043029746595
2020-02-01,99.4744403393718
2020-03-01,98.699767335707
2020-04-01,98.1287816644907
2020-05-01,98.6774394388328
2020-06-01,99.6139519095245
2020-07-01,100.505448623484
2020-08-01,101.115901586297
2020-09-01,101.413154345571
2020-10-01,101.710147947333
2020-11-01,102.032793748905
2020-12-01,102.078586681873
2021-01-01,102.252704919527
2021-02-01,102.514741736476
2021-03-01,102.716608911727
2021-04-01,102.968617351114
2021-05-01,103.422667834294
2021-06-01,103.848135772345
2021-07-01,104.095938661765
2021-08-01,104.318422372665
2021-09-01,104.379685074985
2021-10-01,104.391978365619
2021-11-01,104.181334802861
2021-12-01,104.060157751707
2022-01-01,104.100334861185
